'Número de página,'Diseño,'Texto,'Reading Order,'Confidence score % (Layout)
'1,'Text 1,"'15",'0,'66.16210938
'1,'Figure 1,"",'1,'38.57421875
'1,'Text 2,"'LOTERÍA DE LA CRUZ ROJA COLOMBIANA",'2,'39.37988281
'1,'Table 1,"",'3,'53.90625000
'1,'Text 3,"'MODALIDAD LANZAMIENTO ADICIONAL SORTEO 3097",'4,'36.62109375
'1,'Text 4,"'Se sorteará un Carro Mercedes Benz Modelo 2025 por valor aproximado $206.000.000 millones de pesos (DOSCIEN- TOS SEIS MILLONES DE PESOS) juega con un lanzamiento adicional a este sorteo. Será ganador quien acierte las cuatro cifras y serie presentando el Billete completo fracción 1, fracción 2. *El ganador será responsable de la retención en la fuente del 20% del valor del automóvil más el valor de la matrícula.",'5,'90.23437500
'1,'Table 2,"",'6,'36.57226563
'1,'Figure 2,"",'7,'49.12109375
'1,'Text 5,"'""PAGADERO AL PORTADOR' CADUCIDAD UN AÑO",'8,'40.20996094
'1,'Text 6,"'No se pagarán premios a billetes que presenten: perforaciones, roturas, tachones O cualquier otro tipo de alteración.",'9,'72.11914063
'1,'Figure 3,"",'10,'27.24609375
'1,'Figure 4,"",'11,'29.78515625
'1,'Text 7,"'Juega en Bogotá D.C. el 15 de Abril de 2025 a las 10:55 p.m. por el canal 1y facebook live.",'12,'45.33691406
'1,'Text 8,"'1",'13,'34.10644531
'1,'Text 9,"'BILLETE $15.000",'14,'42.52929688
'1,'Text 10,"'Direccion: Av. Carrera 68 #68B-31, Bogota D.C.",'15,'44.84863281
'1,'Figure 5,"",'16,'44.26269531
'1,'Text 11,"'Teléfono: 601 Cel. 6118 contactenosloteria@cruzrojacolombiana.org www.cruzrojacolombiana.org www.lotecruz.org.co",'17,'61.66992188
'1,'Figure 6,"",'18,'30.56640625
'1,'Figure 7,"",'19,'36.69433594
'1,'Figure 8,"",'20,'73.48632813
'1,'Text 12,"'00000000000000000000",'21,'64.25781250
'1,'Text 13,"'3?R(xA9",'22,'37.47558594
'1,'Text 14,"'LOTERÍA DE LA CRUZ ROJA COLOMBIANA PLAN DE PREMIOS $7.000.000.000 MILLONES",'23,'25.39062500
'1,'Table 3,"",'24,'77.39257813
'1,'Text 15,"'MODALIDAD LANZAMIENTO ADICIONAL SORTEO 3097",'25,'29.71191406
'1,'Text 16,"'Se sorteará un Carro Mercedes Benz Modelo 2025 por valor aproximado $206.000.000 millones de pesos (DOSCIEN- TOS SEIS MILLONES DE PESOS) juega con un lanzamiento adicional a este sorteo. Será ganador quien acierte las cuatro cifras y serie presentando el Billete completo fracción 1, fracción 2. *El ganador será responsable de la retención en la fuente del 20% del valor del automóvil más el valor de la matrícula.",'26,'93.99414063
'1,'Text 17,"'""PAGADERO AL PORTADOR"" CADUCIDAD UN AÑO",'27,'50.19531250
'1,'Text 18,"'No se pagarán premios a billetes que presenten: perforaciones, roturas, tachones O cualquier otro tipo de alteración.",'28,'88.91601563
'1,'Figure 9,"",'29,'70.01953125
'1,'Text 19,"'VIGILADO Supersalud",'30,'57.76367188
'1,'Figure 10,"",'31,'36.88964844
'1,'Table 4,"",'32,'73.24218750
'1,'Text 20,"'FRACCIÓN 2 SORTEO 3097 FRACCIÓN $7.500 BILLETE $15.000",'33,'29.17480469
'1,'Text 21,"'Juega en Bogota D.C. el 15 de Abril de 2025 a las 10:55 p.m. por el canal 1y facebook live.",'34,'77.05078125
'1,'Text 22,"'Direccion: Av. Carrera 68 #68B-31, Bogota D.C",'35,'54.29687500
'1,'Figure 11,"",'36,'47.26562500
'1,'Figure 12,"",'37,'31.10351563
'1,'Text 23,"'Teléfono: 601 32 Cel. 321 383 6118 contactenosloteria@cruzrojacolombiana.org www.cruzrojacolombiana.org www.lotecruz.org.co",'38,'72.70507813
'1,'Figure 13,"",'39,'27.24609375
'1,'Text 24,"'ОЙА\АЇДӘЭМ 000-0000 CIUDAD",'40,'39.64843750
'1,'Figure 14,"",'41,'32.25097656
'1,'Text 25,"'TELÉFONO COD. DISTRIBUIDOR 000-0000 DISTRIBUIDOR DIRECCIÓN",'42,'29.58984375
'1,'Text 26,"'0000-000",'43,'50.29296875
'1,'Figure 15,"",'44,'62.69531250
'1,'Text 27,"'3?R(xA9",'45,'36.30371094
'1,'Text 28,"'00000000000000000000",'46,'36.05957031
