"'Premio Mayor","'$7.000.000.000","'Precio Billete","'$15.000",
"'Emision en billetes","'2.900.000","'Precio Fraccion","'$7.500",
"'Series total","'290","'Valor de la Emision","'$43.500.000.000",
"'Fracciones","'2","'Valor Plan de Premios","'$17.432.240.963",
"'","'","'% Premios sobre emisión","'40,2%",
,,,

'Confidence Scores % (Table Cell)
""'55.76171875","'54.34570313","'81.39648438","'81.39648438",
"'56.25000000","'54.83398438","'82.12890625","'82.12890625",
"'55.46875000","'54.05273438","'80.95703125","'80.95703125",
"'51.70898438","'50.39062500","'75.48828125","'75.48828125",
"'35.88867188","'34.96093750","'52.39257813","'52.39257813",
