"'PLAN DE","'PREMIOS $7.000.000.000","'MILLONES",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'PREMIO MAYOR","'$ 7.000.000.000,00","'$ 4.648.000.000,00",
"'1 SECO","'$ 200.000.000,00","'$ 132.800.000,00",
"'4 SECOS","'$ 100.000.000,00","'$ 66.400.000,00",
"'10 SECOS","'$ 30.000.000,00","'$ 19.920.000,00",
"'15 SECOS","'$ 20.000.000,00","'$ 13.280.000,00",
"'20 SECOS","'$ 10.000.000,00","'$ 6.640.000,00",
,,

'Confidence Scores % (Table Cell)
""'85.15625000","'85.15625000","'85.15625000",
"'92.57812500","'90.62500000","'90.82031250",
"'87.89062500","'86.03515625","'86.18164063",
"'86.91406250","'85.10742188","'85.30273438",
"'85.40039063","'83.59375000","'83.78906250",
"'85.20507813","'83.44726563","'83.59375000",
"'86.96289063","'85.15625000","'85.35156250",
"'90.67382813","'88.76953125","'88.91601563",
