"'APROXIMACIONES AL","'MAYOR EN LA MISMA","'SERIE",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'TRES PRIMERAS CIFRAS DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'DOS PRIMERAS Y ULTIMA CIFRA DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'TRES ULTIMAS CIFRAS DEL MAYOR","'$ 8.000.000,00","'$ 5.312.000,00",
"'DOS PRIMERAS CIFRA DEL MAYOR","'$ 1.445.783,00","'$ 1.200.000,00",
"'DOS ULTIMAS CIFRAS DEL MAYOR","'$ 1.445.783,00","'$ 1.200.000,00",
"'TIMA CIFRA DEL MAYOR","'$ 144.578,00","'$ 120.000,00",
,,

'Confidence Scores % (Table Cell)
""'67.91992188","'67.91992188","'67.91992188",
"'51.17187500","'48.58398438","'48.75488281",
"'87.40234375","'83.00781250","'83.34960938",
"'89.11132813","'84.61914063","'84.91210938",
"'88.37890625","'83.88671875","'84.22851563",
"'88.52539063","'84.08203125","'84.42382813",
"'88.18359375","'83.74023438","'84.03320313",
"'90.82031250","'86.27929688","'86.57226563",
