"'APROXIMACIONES AL MAYOR","'EN DIFERENTE SERIE","'",
"'TIPO DE PREMIO","'VALOR BRUTO BILLETE","'VALOR NETO A PAGAR BILLETE",
"'MAYOR DIFERENTE SERIE","'$ 4.066.265,00","'$ 2.700.000,00",
"'TRES PRIMERAS CIFRAS DEL MAYOR","'","'$ 60.000,00",
"'DOS PRIMERAS Y ULTIMA CIFRA DEL MAYOR","'","'$ 60.000,00",
"'TRES ULTIMAS CIFRAS DEL MAYOR","'","'$ 60.000,00",
"'DOS PRIMERAS CIFRAS DEL MAYOR","'","'$ 30.000,00",
"'DOS ULTIMAS CIFRA DEL MAYOR","'","'$ 30.000,00",
"'ULTIMA CIFRA DEL MAYOR","'","'$ 15.000,00",
,,

'Confidence Scores % (Table Cell)
""'71.87500000","'71.87500000","'71.87500000",
"'92.48046875","'87.93945313","'88.96484375",
"'89.30664063","'84.91210938","'85.88867188",
"'89.45312500","'85.05859375","'86.03515625",
"'88.47656250","'84.13085938","'85.05859375",
"'86.62109375","'82.37304688","'83.30078125",
"'85.69335938","'81.49414063","'82.42187500",
"'83.83789063","'79.73632813","'80.61523438",
"'89.79492188","'85.40039063","'86.37695313",
