'Número de página,'Clave,'Valor,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'DIST:","'ZZZZZ","'94.95984650","'94.95984650"
"'1","'SORTEO","'3097","'71.57497406","'71.57497406"
"'1","'SORTEO","'3097","'73.43598938","'73.43598938"
"'1","'NÚMERO2023","'","'68.28236389","'68.28236389"
"'1","'Fracción","'$7.500 $15.000","'53.34001923","'53.34001923"
"'1","'Billete","'","'50.39789200","'50.39789200"
"'1","'Hh09ñ)?","'0000000","'62.31745911","'62.31745911"
"'1","'SERIE","'244","'94.59746552","'94.59746552"
"'1","'SORTEO","'3097","'49.27135849","'49.27135849"
"'1","'BILLETE","'$15.000","'68.97315216","'68.97315216"
"'1","'cadena.","'4","'60.92609787","'60.92609787"
"'1","'Día mundial","'la salud 07 abril","'49.91449356","'49.91449356"
"'1","'SERIE","'244","'92.77167511","'92.77167511"
"'1","'NUMERO","'9 2023","'93.18156433","'93.18156433"
"'1","'SORTEO","'3097","'73.89034271","'73.89034271"
"'1","'FRACCIÓN","'$7.500","'75.10485077","'75.10485077"
"'1","'BILLETE","'$15.000","'75.60284424","'75.60284424"
"'1","'JUEGA","'EL15 ABRIL","'63.68906021","'63.68906021"
"'1","'10.55 p.m.porCanallyFacebook.Live","'","'52.80690002","'52.80690002"
"'1","'SERIE","'244","'74.48203278","'74.48203278"
"'1","'NUMERO","'2023","'61.84849167","'61.84849167"
